Home,Away,Home Logo,Away Logo,Spread Bet,Total Bet
Ohio St.,Indiana St.,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,Ohio St. 19,Over 161
Texas,Northwestern St.,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,Northwestern St. 26,Under 139
Quinnipiac,Hofstra,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,Hofstra 1,Under 139.5
Iona,Harvard,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png,Harvard 5,Over 140
Lafayette,Stonehill,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,https://a.espncdn.com/i/teamlogos/ncaa/500/284.png,Stonehill 5,Under 135.5
William & Mary,Navy,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,William & Mary 9,Over 161.5
Penn St.,Penn,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png,Penn St. 25,Under 150.5
Florida,Stetson,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,Stetson 38.5,Under 158.5
Northwestern,Northeastern,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,Northwestern 14.5,Over 135
High Point,Norfolk St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,Norfolk St. 8.5,Over 146
Robert Morris,Northern Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,Robert Morris 0,Under 134.5
Maine,Boston University,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,Boston University 3.5,Under 132
Northern Iowa,Southern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,Northern Iowa 10.5,Over 145
Niagara,Le Moyne,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2330.png,Le Moyne 4.5,Over 143.5
Green Bay,Purdue Fort Wayne,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,Green Bay 8.5,Over 159
Marist,Binghamton,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png,Binghamton 8.5,Under 132.5
