#,Home,Away,Home_Proj,Away_Proj,xSpread,xTotal,Spread,Total,Spread Edge,Total Edge,Spread Bet,Total Bet,HomeLogo,AwayLogo
1,Akron,Central Michigan,18.3,21.1,2.8,39.4,8.5,45.5,5.7,6.1,Akron,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
2,Alabama,Vanderbilt,44.3,21.4,-22.9,65.7,-10.5,56.5,12.4,9.2,Alabama,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
3,App State,Oregon State,27.8,29.2,1.4,57,2.5,54.5,1.1,2.5,App State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
4,Arizona,Oklahoma State,31.2,16.4,-14.8,47.6,-19.5,55.5,4.7,7.9,Oklahoma State,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
5,Arkansas State,Texas State,24.7,47.7,22.9,72.4,13.5,64.5,9.4,7.9,Texas State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
6,Ball State,Ohio,16.5,36,19.5,52.4,14.5,51.5,5,0.9,Ohio,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
7,Baylor,Kansas State,32.8,29.3,-3.5,62.2,-6.5,61.5,3,0.7,Kansas State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
8,Buffalo,Eastern Michigan,27.6,27.1,-0.4,54.7,-10,49.5,9.6,5.2,Eastern Michigan,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
9,BYU,West Virginia,32.7,14.2,-18.5,46.9,-19.5,47.5,1,0.6,West Virginia,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
10,California,Duke,22.5,27.6,5.1,50.1,2.5,55.5,2.6,5.4,Duke,Under,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
11,Cincinnati,Iowa State,27.6,30.2,2.5,57.8,-1.5,52.5,4,5.3,Iowa State,Over,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
