Home,Away,Home Logo,Away Logo,xHome,xAway,xSpread,xTotal,Spread Edge,Total Edge,Vegas_Spread,Vegas_Total,Spread Bet,Total Bet
LA,SF,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,26.0,19.4,-6.6,45.4,1.9,1.9,8.5,43.5,SF,Over
CLE,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,12.9,18.8,5.9,31.8,2.4,4.7,-3.5,36.5,MIN,Under
CAR,MIA,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,21.0,26.0,5.0,47.0,3.5,2.5,-1.5,44.5,MIA,Over
IND,LV,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,22.9,20.1,-2.8,43.0,4.2,4.5,7,47.5,LV,Under
NO,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,19.1,17.7,-1.4,36.8,0.6,5.7,2,42.5,NYG,Under
BAL,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,20.5,20.7,0.2,41.1,1.3,0.6,-1.5,40.5,BAL,Over
PHI,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,23.7,20.1,-3.6,43.9,0.1,0.4,3.5,43.5,PHI,Over
NYJ,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,23.8,26.7,2.8,50.5,0.3,3.0,-2.5,47.5,DAL,Over
ARI,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,27.7,13.2,-14.5,40.9,7.0,1.1,7.5,42,ARI,Under
SEA,TB,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,21.6,19.5,-2.1,41.1,1.4,3.4,3.5,44.5,TB,Under
CIN,DET,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,20.8,30.9,10.1,51.8,0.4,2.3,-10.5,49.5,CIN,Over
LAC,WAS,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,27.3,23.0,-4.3,50.3,1.8,2.3,2.5,48,LAC,Over
BUF,NE,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,31.8,22.7,-9.0,54.5,0.5,5.0,8.5,49.5,BUF,Over
JAX,KC,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,21.5,24.4,2.9,46.0,0.6,0.5,-3.5,46.5,JAX,Under
